Course Title,Rating,Level,Duration,Review,Modules,Instructor,Offered By,Keyword,Course Url
Global Health Diplomacy,4.6,Beginner,30.0,107,"Overview and who are the players in global health diplomacy?, What are the drivers of policy for global health diplomacy? , How is global health financed?, Global health financing institutions, What is global health governance and how does it work?, Global health security , Final Course Assessment","Peter Small, Gabrielle Fitzgerald",The State University of New York,Social Sciences,https://www.coursera.org/learn/global-health-diplomacy
Risk in Modern Society ,4.7,Beginner,11.0,198,"Welcome  & Risk in Modern Society, Managing Risk, Risk Perception , Modern-day Risks: Global Challenges, Risk in Modern Society ","Genserik Reniers, Edwin Bakker, Margreet Vos, Sabine Roeser, Jim van Steenbergen, Pieter van Gelder, Bibi  van den Berg, Marieke Liem","Universiteit Leiden, LDE Centre for Safety and Security",Social Sciences,https://www.coursera.org/learn/risk-in-modern-society
Digital Governance,4.7,Beginner,27.0,89,"Welcome to the MOOC on Digital Governance , Introduction to Law in the Digital Age, E-Democracy, Automation of Government Administration, Online Courts, Competition and Regulation in Digital Markets, Ownership of Data , Peer Review: Facebook and the German Competition Authority","Klaus Heine, Evert Stamhuis, Ittai Bar-Siman-Tov, Pinar Akman, Farshida Zafar, Oren Perez, Ayelet Sela, Konstantinos Stylianou","Erasmus University Rotterdam, University of Leeds",Social Sciences,https://www.coursera.org/learn/digitalgovernance
Planet Earth...and You!,4.9,Beginner,41.0,518,"Orientation, Week 1: Earthquakes!, Week 2: Plate Tectonics, Week 3: Volcanoes!, Week 4: Rocks and Mineral Resources, Week 5: Energy Resources","Dr. Eileen Herrstrom, Dr. Stephen Marshak",University of Illinois at Urbana-Champaign,Social Sciences,https://www.coursera.org/learn/planet-earth
Motivating Gen Z Learners: What Parents and Teachers Need to Know,4.9,Beginner,8.0,283,"Session 1 - Understanding what motivates behavior: Do punishments and rewards work?, Session 2 - Looking into the Needs of Learners: Needs-Based Theories of Motivation, Session 3 - Mindsets and Causal Attributions for Success and Failure, Session 4 - The Self-Regulated Learner ","Yvonne Seng, Tan Chee Soon , Caroline Koh, Stefanie Chye","Nanyang Technological University, Singapore",Social Sciences,https://www.coursera.org/learn/motivate-genz-learners
What future for education?,4.7,Not Provided,13.0,736,"How do we learn?, What is intelligence and does it matter?, What makes a good teacher?, Can schools make a difference?, Why do governments fund education?, What future for education?",Dr Clare Brooks,"University of London, UCL Institute of Education",Social Sciences,https://www.coursera.org/learn/future-education
Analitik Data Google Professional Certificate,4.9,Beginner,10.0,1.808,"Dasar-dasar Analitik Data: Data, Data di Mana-mana, Ajukan Pertanyaan untuk Mengambil Keputusan Berdasarkan Data, Mempersiapkan Data untuk Eksplorasi, Memproses Data dari Kotor ke Bersih, Menganalisis Data untuk Menjawab Pertanyaan, Berbagi Data Melalui Seni Visualisasi, Analisis Data dengan Pemrograman R, Proyek Akhir Analitis Data Google: Selesaikan Sebuah Studi Kasus",Google Career Certificates,Google,Social Sciences,https://www.coursera.org/professional-certificates/analitik-data-google
إدارة الفعاليات | Events Management,4.5,Beginner,5.0,56,"أسس إدارة الفعاليات, خطوات عملية لتخطيط الفعاليات, متطلبات تنظيم فعاليات ناجحة, إدارة الأمور المالية للفعاليات, تقييم الفعاليات",Alfaisal.KLD,Alfaisal University | KLD,Social Sciences,https://www.coursera.org/learn/events-management
Tropical Forest Landscapes 101: Conservation & Restoration,4.9,Beginner,19.0,94,"Why conserve and restore tropical forest landscapes?, Ecology of tropical forest landscapes, Social considerations for restoration and conservation, Conservation strategies, Restoration fundamentals, Agroforestry and agroecology, Funding conservation and restoration",Eva Garen,Yale University,Social Sciences,https://www.coursera.org/learn/tropicalforests101
Claves para la igualdad de género Specialization,5.0,Beginner,10.0,6,"Conceptos básicos para la igualdad de género, Violencias por razones de género, Igualdad de género y derechos humanos","Iliana Noemí Palafox Luevano, Lourdes Enríquez, Gabriela Gutiérrez Mendoza , Georgina Romero Gaeta, Paula Ximena Maulén Barragán, Mónica Quijano Velasco",Universidad Nacional Autónoma de México,Social Sciences,https://www.coursera.org/specializations/claves-genero
Foundations of Teaching for Learning: Introduction,4.6,Not Provided,8.0,751,"Being a Teacher: A Professional Privilege, Thinking About Learning, How Good is My Classroom?, Continuing to Learn in a Changing World",Professor John MacBeath,Commonwealth Education Trust,Social Sciences,https://www.coursera.org/learn/teaching
NLP: Twitter Sentiment Analysis,4.6,Beginner,2.0,352,Learn step-by-step,Ryan Ahmed,Coursera Project Network,Social Sciences,https://www.coursera.org/projects/twitter-sentiment-analysis
Organ Donation: From Death to Life ,4.8,Intermediate,16.0,857,"Brain Death and Consent, Donation after Circulatory Death , The Organ Donation Process, Ethical Issues in Transplantation",David Thomson,University of Cape Town,Social Sciences,https://www.coursera.org/learn/organ-donation
Foundational Skills for Communicating About Health,4.7,Beginner,14.0,112,"Week 1, Week 2, Week 3, Week 4, Week 5",Brian  Zikmund-Fisher,University of Michigan,Social Sciences,https://www.coursera.org/learn/foundational-skills-communicating-health
Research for Impact,4.9,Beginner,20.0,142,"Introduction to Research for Impact, Planning for Impact, Engaging and Partnering , Communicating for Impact, Building Capacities, Influencing for Impact","Mark New, Jesse DeMaria-Kinney","University of Cape Town, Oxfam",Social Sciences,https://www.coursera.org/learn/research-for-impact
Introducción a Java,4.1,Beginner,29.0,900,"El proceso de programación , Programación básica en Java , Avanzando en la programación de Java, Arreglos y su manipulación , Interacción con el usuario",Elisa Viso Gurovich,Universidad Nacional Autónoma de México,Social Sciences,https://www.coursera.org/learn/introduccion-java
Geopolítica y gobernanza global: riesgos y oportunidades,4.8,Not Provided,14.0,1.614,"Tendencias globales. El mundo en 2030. , Riesgos globales, Gobernanza global, Liderazgo político o cómo conseguir consensos globales, Seguridad global y proliferación nuclear, Evaluación final","Angel Saz Carranza, Marie Vandendriessche, Ángel Pascual-Ramsay , Javier Solana ",ESADE Business and Law School,Social Sciences,https://www.coursera.org/learn/geopoliticaygobernanzaglobal
The Global Financial Crisis,4.8,Not Provided,66.0,2.257,"Introduction to The Global Financial Crisis, The Common Causes of Financial Crises, Housing and Mortgages, Safe Assets and the Global Savings Glut, The Housing Crisis, Anxiety, Part I, Anxiety, Part II, Panic, Our Responses to the Crisis,  Responding to Future Crises, Europe in the Global Financial Crisis, The Eurozone Crisis, Course Summary","Timothy Geithner, Andrew Metrick",Yale University,Social Sciences,https://www.coursera.org/learn/global-financial-crisis
El desafío de Innovar en la Educación Superior,4.8,Not Provided,5.0,1.610,"Desafíos de la Educación Superior en el Siglo XXI, El valor de la diversidad en el aula. , Innovación de las rutinas docentes. , Implementando mi innovación., Evaluando el impacto de nuestras innovaciones",Oscar Jerez,Universidad de Chile,Social Sciences,https://www.coursera.org/learn/educacion-superior
Leadership and Critical Thinking Specialization,4.4,Advanced,10.0,79,"Leadership and organizational behavior, Critical thinking: reasoned decision making, Leadership focused on Human Flourishing","Elliott Kruse, Santiago José Vázquez Blanco, Eduardo Pérez Gorostieta",Tecnológico de Monterrey,Social Sciences,https://www.coursera.org/specializations/leadership-critical-thinking
Privacy and Standardisation Specialization,4.2,Intermediate,10.0,127,"Privacy in the Western World, Privacy in the USA, Privacy in Europe, Standardisation & Technology, Privacy & Standardisation Capstone",Jan Smits,EIT Digital ,Social Sciences,https://www.coursera.org/specializations/privacy
Ley de protección de datos. Conoce tus derechos,4.7,Beginner,12.0,72,"Ley de protección de datos. Conoce tus derechos, Alcance y contexto normativo de la protección de datos, El RGPD. Conceptos básicos, El impacto de la RGPD fuera de la UE, La aplicación de la RGPD en la UE","Xavier Rubiralta Costa, Lidia Ballesta, Josep Cañabate-Pérez, Cristina Blasi Casagran, Agustí Verde Parera",Universitat Autònoma de Barcelona,Social Sciences,https://www.coursera.org/learn/proteccion-datos
Assessment in Higher Education: Professional Development for Teachers,4.8,Intermediate,17.0,356,"The role of assessment in higher education, The Assessment Cycle, The Assessment Plan, Feedback & grading design, Assessment construction, Assessment Analysis and Evaluation","Marit Nieuwenhuys, Mandy Hollander, Kris Stabel, Sanne van Herpen, Berry Nijveld, Remy Fermont",Erasmus University Rotterdam,Social Sciences,https://www.coursera.org/learn/assessment-higher-education
Seguridad hídrica,4.9,Beginner,9.0,458,"Introducción, Acceso a servicios de agua potable y saneamiento para todas las personas, Agua: motor de crecimiento económico, Ecohidrología, Resiliencia y gestión de los riesgos ante fenómenos hidrometeorológicos extremos","Fernando González Villarreal, Jorge Alberto Arriaga Medina",Universidad Nacional Autónoma de México,Social Sciences,https://www.coursera.org/learn/seguridad-hidrica
The Korean Economic Development,4.8,Not Provided,8.0,360,"Introduction: Preview and Overall Evaluation, 1940s and 1950s, 1960s, 1970s, 1980s, The early 1990s, 1997 Asian Financial Crisis, 2008 Global Financial Crisis and Beyond, Final  Peer Review",Doo Won Lee,Yonsei University,Social Sciences,https://www.coursera.org/learn/korean-economy
Claves para Gestionar Personas,4.8,Not Provided,10.0,2.214,"Sesión 1: Gestión por Competencias , Sesión 2: Selección y Contratación, Sesión 3: Evaluación, Sesión 4: Promoción, Sesión 5: Retribución",Guido Stein,IESE Business School,Social Sciences,https://www.coursera.org/learn/gestionar-personas
Algorithms on Graphs,4.7,Intermediate,54.0,2.227,"Decomposition of Graphs 1, Decomposition of Graphs 2, Paths in Graphs 1, Paths in Graphs 2, Minimum Spanning Trees, Advanced Shortest Paths Project (Optional)","Alexander S. Kulikov, Daniel M Kane, Neil Rhodes, Michael Levin",University of California San Diego,Social Sciences,https://www.coursera.org/learn/algorithms-on-graphs
Powerful Tools for Teaching and Learning: Digital Storytelling,4.5,Beginner,13.0,235,"WEEK 1:  Choosing a Topic and Defining your Purposes, WEEK 2: Writing an Effective Script and Creating a Storyboard, WEEK 3, WEEK 4, Week 5","Bernard R Robin, Sara G. McNeil",University of Houston,Social Sciences,https://www.coursera.org/learn/digital-storytelling
Los bits y bytes de las redes informáticas,4.8,Beginner,31.0,3.940,"Introducción a Networking, La Capa De Red, Las capas de transporte y aplicación, Servicios de red, Conectarse a Internet, Solución de problemas y el futuro de las redes","Onlea support, Google Career Certificates",Google,Social Sciences,https://www.coursera.org/learn/redes-informaticas
Become a Sustainable Business Change Agent Specialization,4.7,Intermediate,10.0,234,"First Steps in Making the Business Case for Sustainability, More on Change and Sustainability, Sustainable Business: Big Issues, Big Changes, Capstone: Creating A Sustainability Proposal","John Byrd, Kenneth Bettenhausen",University of Colorado System,Social Sciences,https://www.coursera.org/specializations/sustainable-business-change-agent
Introduction to the Internet of Things and Embedded Systems,4.7,Not Provided,11.0,12.965,"What Is the Internet of Things (IoT)?, Embedded Systems, Hardware and Software, Networking and the Internet",Ian Harris,"University of California, Irvine",Social Sciences,https://www.coursera.org/learn/iot
Challenging Forensic Science: How Science Should Speak to Court,4.8,Beginner,16.0,432,"Week 1 - What is the ""DNA"" of a good forensic report ?, Week 2 - Elementary: source is not activity !, Week 3 - DNA is not the magic bullet, Week 4 - Trials by Numbers or Numbers on Trial, Week 5: The wonderland of certainty","Christophe Champod, Franco Taroni, Alex Biedermann, Tacha Hicks",University of Lausanne,Social Sciences,https://www.coursera.org/learn/challenging-forensic-science
Fundamentals of Digital Image and Video Processing,4.6,Not Provided,35.0,1.714,"Introduction to Image and Video Processing, Signals and Systems, Fourier Transform and Sampling, Motion Estimation, Image Enhancement, Image Recovery: Part 1, Image Recovery : Part 2, Lossless Compression, Image Compression, Video Compression, Image and Video Segmentation, Sparsity",Aggelos K. Katsaggelos,Northwestern University,Social Sciences,https://www.coursera.org/learn/digital
Patent Law,4.8,Not Provided,10.0,232,"What is Patent Law?, Patentability, The Scope of a Patent, Patent Enforcement",R. Polk Wagner,University of Pennsylvania,Social Sciences,https://www.coursera.org/learn/patents
Introducción a la producción audiovisual,4.7,Beginner,22.0,994,"Introducción , Introducción al lenguaje audiovisual,  Preproducción,  Grabación, Posproducción, EDICIÓN","Vicente Hinojosa Alarcón, Julio César Pérez Navarro, Irene Anaís Pereda Aguado ",Universidad Nacional Autónoma de México,Social Sciences,https://www.coursera.org/learn/intro-produccion-audiovisual
UX / UI: Fundamentos para o design de interface,4.5,Beginner,18.0,740,"Introdução, Usabilidade e Prototipação, Arquitetura de informação e wireframe, Design, Acessibilidade, multiplataforma e elementos de interface do usuário, Linguagem da empresa, cliente e análises","Artur Vilas Boas, André Leme Fleury",Universidade de São Paulo,Social Sciences,https://www.coursera.org/learn/ux-ui-design-de-interface
How To Create a Website in a Weekend! (Project-Centered Course),3.3,Not Provided,13.0,577,"Module 1: Prepping Your Site, Module 2: Starting to work with Wordpress, Module 3: Add Media, Social Media and Launch, Module 4: Go Deeper with Further Customization","Dr.  Margaret Anne Schedel, Melissa Clarke",The State University of New York,Social Sciences,https://www.coursera.org/learn/how-to-create-a-website
Economie du sol et de l'immobilier I,4.7,Intermediate,31.0,250,"Accueil, Module 1 - Premiers concepts, Module 2 - Plus-value et anticipations, Module 3 - Autres points de vue et confrontation, Module 4 - Financement et calculs financiers, Module 5 - Calculs intertemporels, Module 6 - Évaluation immobilière, Conclusion de la première partie du cours",Philippe Thalmann,École Polytechnique Fédérale de Lausanne,Social Sciences,https://www.coursera.org/learn/economie-sol-immobilier-1
Microeconomics: When Markets Fail,4.8,Not Provided,12.0,603,"Costs and Profits + Perfect Competition, Monopoly, Monopoly Continued, Externalities + Public Goods, Asymmetric Information and Inequality",Rebecca Stein,University of Pennsylvania,Social Sciences,https://www.coursera.org/learn/microeconomics-part2
Learning Technologies Foundations and Applications,4.5,Not Provided,7.0,169,"COURSE ORIENTATION, MODULE 1: Learning, Design, and Technology, Module 2: The Evolvement of Learning Technologies, MODULE 3: Designing Technology-Enriched and -Enabled Learning Environments (TEELE), MODULE 4: Cognitive Load Theory and Implications on E-Learning and TEELE, COURSE CONCLUSION",Wenhao David Huang,University of Illinois at Urbana-Champaign,Social Sciences,https://www.coursera.org/learn/learning-technologies-foundations-applications
La formación del pensamiento crítico en la era digital,4.7,Beginner,33.0,242,"La formación del pensamiento crítico en la era digital, La Literacidad Crítica en los estudios sociales, Ciudadanos del mundo: educar para la ciudadanía global, Invisibilidad de personas y grupos en los estudios sociales, Discurso y contra-relato del odio, Enseñar y aprender a interpretar problemas y conflictos contemporáneos","Maria Ballbé Martínez, Breogán Tosar Bacarizo, Antoni Santisteban Fernández, Mariona Massip Sabater, Jordi Castellví Mata, Neus González Monfort, Gustavo A. González Valencia",Universitat Autònoma de Barcelona,Social Sciences,https://www.coursera.org/learn/formacion-pensamiento-critico
Evaluación educativa Specialization,4.8,Beginner,10.0,295,"Evaluación del y para el aprendizaje en educación universitaria, Evaluación del y para el aprendizaje: enfoque cuantitativo, Evaluación del y para el aprendizaje: enfoque cualitativo, Proyecto final: Evaluación del y para el aprendizaje","Adrián Martínez González, Melchor Sánchez Mendiola",Universidad Nacional Autónoma de México,Social Sciences,https://www.coursera.org/specializations/evaluacion-educativa
Active Learning in STEM with PhET Interactive Simulations Specialization,4.9,Beginner,8.0,59,"Introduction to PhET Simulations for STEM Education, Whole Class with PhET for STEM Education, Activity Design with PhET Simulations for STEM Education, Implementation of PhET Activities for STEM Education","Rebecca Vieyra, Zachariah Mbasu",University of Colorado Boulder,Social Sciences,https://www.coursera.org/specializations/active-learning-in-stem-with-phet-interactive-simulations
Street Experiments for Sustainable and Resilient cities,4.8,Beginner,12.0,28,"Streets as Placemaking and Movement (Raising Awareness), Getting to Know Street Experiments, Implementing Street Experiments, Evaluating Street Experiments","Benjamin Büttner, Ana Rivas","Technical University of Munich (TUM),  EIT Urban Mobility",Social Sciences,https://www.coursera.org/learn/streetexperiments
Unraveling the Cycling City,4.9,Intermediate,22.0,238,"Week 1: A Historical Perspective, Week 2: The urban environment, Week 3: The street within a network, Week 4: The co-evolution of design and behavior, Week 5: Final assignment","George Liu, Marco te Brömmelstroet, Meredith Glaser",University of Amsterdam,Social Sciences,https://www.coursera.org/learn/unraveling-the-cycling-city
"Drugs, drug use, drug policy and health ",4.8,Beginner,29.0,245,"Understanding drugs and the international drug control framework, Drug Use Worldwide, Addressing drug use and health: prevention, harm reduction and treatment, Questioning prohibition-based policies , Medical access to opioids for the management of pain and to other controlled medicines, The case for drug policy reform ","Michel Kazatchkine, Aymeric Reyre, Jennifer Hasselgard-Rowe, Barbara Broers",University of Geneva,Social Sciences,https://www.coursera.org/learn/drugs
International Organizations for Interpreters,4.7,Beginner,17.0,73,"International Geneva, History, Evolution and Trends, The Structure of International Organizations, The Competencies and Functioning of International Organizations, Multilingualism in International Organizations, Conclusion ","Claire Bessant, Dominique Leveillé",University of Geneva,Social Sciences,https://www.coursera.org/learn/international-organizations
Art & Inquiry: Museum Teaching Strategies For Your Classroom,4.7,Intermediate,12.0,458,"Module 1: Introduction to Inquiry | Why Engage in Inquiry Around Art?, Module 2: Close Looking and Open-Ended Inquiry, Module 3: Art, Inquiry, and Social Emotional Learning, Module 4:  Activities as Inquiry, Module 5: Putting it all Together | Making Connections Across Curriculum","Francis Estrada, Larissa Raphael, Lisa Mazzola",The Museum of Modern Art,Social Sciences,https://www.coursera.org/learn/artinquiry
Educating Deaf Children: Becoming an Empowered Teacher,4.9,Beginner,15.0,338,"The experience of being Deaf and how it impacts learning, The role of teachers in developing resilience in Deaf children, Creating an accessible learning experience, Becoming an empowered teacher","Tara Kuhn, Odette Swift",University of Cape Town,Social Sciences,https://www.coursera.org/learn/educating-deaf-children
Teaching Children with Visual Impairment: Creating Empowering Classrooms,4.9,Beginner,13.0,155,"Discover the visually impaired child, The Expanded Core Curriculum for the visually impaired child, Curriculum differentiation and assistive technology, Becoming an empowered teacher",Brian Watermeyer,University of Cape Town,Social Sciences,https://www.coursera.org/learn/teach-children-with-visual-impairment
Grundlagen des technischen Supports,4.8,Beginner,23.0,134,"EINFÜHRUNG IN DIE IT, Bauteile, Betriebssystem, Netzwerktechnik, Software, Fehlerbehebung","Onlea support, Google Career Certificates",Google,Social Sciences,https://www.coursera.org/learn/technical-support-fundamentals-de
Designing Learning Innovation,4.9,Beginner,24.0,480,"Why Learning Innovation, The Intended Learning Outcomes, The Assessment, The Pedagogical Frameworks, The Learning Innovation Network: active classroom, The Learning Innovation Network: contents and useful connections","Daniela Casiraghi, Susanna Sancassani, Federica Brambilla",Politecnico di Milano,Social Sciences,https://www.coursera.org/learn/designing-learning-innovation
Applied ChatGPT for Cybersecurity,4.4,Intermediate,0,31,Untitled Module,Keatron Evans,Infosec,Social Sciences,https://www.coursera.org/learn/chatgpt-for-cybersecurity
"Energy, Environment, and Everyday Life",4.7,Beginner,47.0,209,"Course Orientation, Week 1: How It All Starts and Ends, Week 2: Getting and Using the Power, Week 3: Why Coal Is Dirty, Week 4: Oil and Gas – With Us Forever?, Week 5: Renewables – What Is New under the Sun, Week 6: More Renewables and Your Radioactive World, Week 7: Nuclear Power Problems and Solutions, Week 8: Our Future Is Bright!",David N. Ruzic,University of Illinois at Urbana-Champaign,Social Sciences,https://www.coursera.org/learn/energy-environment-life
Disability Awareness and Support,4.6,Not Provided,7.0,292,"Introduction, Accommodations and Assistive Technology, Accessible Design, Application",Mary Goldberg,University of Pittsburgh,Social Sciences,https://www.coursera.org/learn/disability-awareness
"Faster Together, Enhancing the Recruitment of Marginalized Communities in Clinical Trials",4.8,Beginner,9.0,97,"Module 1: Understanding the Need to Increase Minority Recruitment in Clinical Trials, Module 2: Key Principles of Community Engagement, Module 3: Reaching Out Into the Community: Effective Communication, Module 4: Educating Potential Research Participants, Module 5: Outreach with Community Healthcare Providers, Module 6: Effective Screening, Education, and Decision Support, Module 7: Managing an Effective, Person-Centered Consent Process, Module 8: Person-centered Retention","Natalie Dilts, MPH, Mary Stroud, RN, Consuelo Wilkins, M.D., M.S.C.I., Claudia Barajas, BA, Jasmine Bell, MPH, Margo Michaels, MPH, Yvonne Joosten, MPH, Jabári S. Ichimura, BS, Tiffany L.  Israel, MSSW, Stephanie A. Mayers, MEd",Vanderbilt University,Social Sciences,https://www.coursera.org/learn/recruitment-minorities-clinical-trials
Teaching Writing Specialization,4.2,Beginner,10.0,25,"Teaching Writing Process, Teaching Reluctant Writers, Teaching Texts and Forms, Responding, Revising and Assessing Student Writings, Teaching Writing Final Project",Mark Farrington,Johns Hopkins University,Social Sciences,https://www.coursera.org/specializations/teaching-writing
Integral Calculus through Data and Modeling Specialization,4.8,Intermediate,10.0,62,"Calculus through Data & Modelling: Series and Integration, Calculus through Data & Modelling: Techniques of Integration, Calculus through Data & Modelling: Integration Applications, Calculus through Data & Modelling: Vector Calculus","Joseph W. Cutrone, PhD",Johns Hopkins University,Social Sciences,https://www.coursera.org/specializations/integral-calculus-data-modeling
Preparing for Google Cloud Certification: Cloud Data Engineer Professional Certificate en Español Specialization,4.8,Intermediate,10.0,58,"Google Cloud Big Data and Machine Learning Fundamentals en Español, Modernizing Data Lakes and Data Warehouses with GCP en Español, Building Batch Data Pipelines on GCP en Español, Building Resilient Streaming Analytics Systems on GCP en Español, Smart Analytics, Machine Learning, and AI on GCP en Español, Preparing for the Google Cloud Professional Data Engineer Exam en Español",Google Cloud Training,Google Cloud,Social Sciences,https://www.coursera.org/specializations/gcp-data-engineer-es
