Course Title,Rating,Level,Duration,Review,Modules,Instructor,Offered By,Keyword,Course Url
Fashion as Design,4.8,Beginner,20.0,2.813,"Introduction, Heroes, Silhouettes, Coutures, Lifecycle, Modesty, Expression","Anna Burckhardt, Paola Antonelli, Michelle Millar Fisher, Stephanie Kramer",The Museum of Modern Art,Arts and Humanities,https://www.coursera.org/learn/fashion-design
Modern American Poetry,4.4,Beginner,34.0,100,"Orientation, Module 1, Module 2, Module 3, Module 4",Cary Nelson,University of Illinois at Urbana-Champaign,Arts and Humanities,https://www.coursera.org/learn/modern-american-poetry
Pixel Art for Video Games,4.5,Beginner,9.0,227,"Week 1: Introduction to Pixel Art, Week 2: Pixel Art Environments, Week 3: Pixel Art Characters, Week 4: Pixel Art Animation, Week 5: Pixel Art Project","Andrew Dennis, Ricardo Guimaraes",Michigan State University,Arts and Humanities,https://www.coursera.org/learn/pixel-art-video-games
Distribución digital de la música independiente,0.0,Beginner,8.0,0,"Semana 1, Semana 2, Semana 3, Semana 4",Eduardo de la Vara Brown.,SAE Institute México,Arts and Humanities,https://www.coursera.org/learn/distribucion-digital-de-la-musica-independiente
The Blues: Understanding and Performing an American Art Form,4.8,Beginner,11.0,582,"Blues Progressions – Theory and Practice , Blues Scales , Keyboard Realization , “Bird” Blues and Other Blues Progressions, Improvisational Tools , Improvising the Blues – Part 1 , Improvising the Blues – Part 2",Dariusz Terefenko,University of Rochester,Arts and Humanities,https://www.coursera.org/learn/the-blues
So You Think You Know Tango?,4.6,Beginner,5.0,107,"Module 1: The Many Dimensions of Tango and Tango Music, Module 2: Tango Words and Movements",Kristin Wendland,Emory University,Arts and Humanities,https://www.coursera.org/learn/tango
The Politics of Skepticism,4.5,Intermediate,13.0,38,"Political Origins, Skepticism and Religion, Skepticism and Natural Law, Skepticism and Conservatism, “There’s a method to his madness”: Responses to Cartesian Skepticism, Fallibilism, prejudices and toleration: Lessons from Pyrrhonian Skepticism, The marketplace of ideas: An imaginative argument for freedom of expression, The benefit of the doubt: Critical creative problem solving in politics","Tim De Mey, Wiep van Bunge",Erasmus University Rotterdam,Arts and Humanities,https://www.coursera.org/learn/erasmus-philosophy-skepticism
Становлення сучасної України,0.0,Beginner,23.0,0,Становлення сучасної України,Timothy Snyder,Yale University,Arts and Humanities,https://www.coursera.org/learn/the-making-of-modern-ukraine-ua
Exploring Beethoven's Piano Sonatas Part 4,4.9,Intermediate,5.0,63,"Welcome to Class!, Op. 2, No. 2, Op. 10, No. 3, Op. 28, Op. 110, Your Thoughts Welcome",Jonathan Biss,Curtis Institute of Music,Arts and Humanities,https://www.coursera.org/learn/exploring-beethoven-piano-sonatas-4
悖论：思维的魔方,4.8,Beginner,44.0,39,"预备知识和悖论概述, 上帝悖论和连锁悖论, 芝诺悖论和无穷之谜, 逻辑-集合论悖论和语义悖论, 语义悖论、归纳悖论和认知悖论, 各种认知悖论, 认知悖论和合理行动悖论, 道德悖论和中国古代悖论, 中国古代悖论, 关于悖论的进一步思考, 拓展材料：研讨会实录及学生报告, 期末考试",陈波,Peking University,Arts and Humanities,https://www.coursera.org/learn/bei-lun
拍摄：像剪辑师一样拍摄,4.8,Not Provided,10.0,21,"绪论&片场职能分工：为你的影片组建精干的团队, 文本解读：你首先是一名观众, 视觉呈现：没人会冲着华丽的摄影去看一部电影, 表演功课：别让蹩脚的表演毁了你的影片, 啥也不多说，开始拍吧！",许 肖潇,Fudan University,Arts and Humanities,https://www.coursera.org/learn/pai-she
In the Studio: Postwar Abstract Painting,4.9,Beginner,26.0,1.421,"Introduction, Barnett Newman, Willem de Kooning, Jackson Pollock, Mark Rothko, Agnes Martin, Ad Reinhardt, Yayoi Kusama, Yayoi Kusama: Lesson Choices","""Corey DAugustine"", Alex Roediger",The Museum of Modern Art,Arts and Humanities,https://www.coursera.org/learn/painting
Philosophy of Science,4.7,Intermediate,12.0,208,"Introduction and Core Examples , Scientific Methods , Scientific Objectivity, Values in Science",Michael Weisberg,University of Pennsylvania,Arts and Humanities,https://www.coursera.org/learn/philosophy-of-science
Basic Elements of Design: Design Principles and Software Overview,4.7,Beginner,10.0,925,"What is Graphic Design?, Elements of Design, Basic Concepts of Design",Lori Poole,University of Colorado Boulder,Arts and Humanities,https://www.coursera.org/learn/basic-elements-design
"Online Games: Literature, New Media, and Narrative",4.6,Beginner,21.0,179,"Game on! The History and Theory of MMOs, LOTRO and Tolkien, Romance and Realism, Space and Time in Three Media, Pwning Spenser’s Faerie Queene, The Holy Grail: A Good End Game",Jay Clayton,Vanderbilt University,Arts and Humanities,https://www.coursera.org/learn/interactive-media-gaming
Concept Art for Video Games,4.6,Not Provided,6.0,66,"Introduction, Week 01: Compositional Studies for Concept Art, Week 02: Intro to 3D for Concept Art, Week 03: Modeling and Exporting, Week 04: Painting the Concept",Ricardo Guimaraes,Michigan State University,Arts and Humanities,https://www.coursera.org/learn/concept-art-video-games
The History of Modern Israel -  Part II: Challenges of Israel as a sovereign state,4.8,Beginner,11.0,328,"Israeli Society: The First Years 1948-1967 , Israel, Between War and Peace 1967-1979, Israel - A Society in transition 1977-1995, Changing Identity, Israel in the 21th century","Professor Eyal Naveh, Professor Asher  Susser",Tel Aviv University,Arts and Humanities,https://www.coursera.org/learn/history-israel-sovereign-state
Shaping Urban Futures,4.7,Intermediate,21.0,28,"Shaping Urban Futures: An Introduction, How to Know a City: New Urban Sciences, What to Know in a City: New Urban Formations, How Cities are Changing: Urban Disruptions, Transforming the City: Making a Difference on the Ground, Reflections on the Future City: Conclusion","Michael Keith, Gautam Bhan, Pengjun Zhao, ""Neave OClery"", Susan Parnell, Juan C. Duque, Tim Schwanen, Edgar Pieterse, Aromar Revi",Indian Institute for Human Settlements,Arts and Humanities,https://www.coursera.org/learn/shaping-urban-futures
中国哲学经典著作导读,4.5,Not Provided,17.0,267,"《周易》导读, 《道德经》导读 , 《论语》导读, 《大学》和《中庸》导读 , 《孙子兵法》导读, 《墨经》导读 , 《心经》导读 , 《庄子》导读 , 朱熹思想导读 , 《传习录》导读 ","龚 建平, 李 重, 张 帆, 韩 鹏杰, 邓 妙子, 雒 自新, 妥 建清, 燕 连福","""Xian Jiaotong University""",Arts and Humanities,https://www.coursera.org/learn/chinese-philosophy
Cultura Maya en Yucatán,0.0,Beginner,14.0,0,"Inicia aquí, Módulo 1: Introducción a la Civilización Maya, Módulo 2: Sociedad y religión, Módulo 3: Arquitectura Maya, Módulo 4: La resistencia Maya, Módulo 5: Los Mayas hoy, Fin del Curso","Alejandro Esteban Fitzmaurice Cahluni, Jorge Oswaldo Gómez Ortiz, Eduardo Manuel Puga Salazar",Universidades Anáhuac,Arts and Humanities,https://www.coursera.org/learn/cultura-maya-en-yucatan
Antisemitismo: Desde sus orígenes hasta el presente,4.9,Beginner,21.0,15,"¿QUÉ ES EL ANTISEMITISMO? DEFINICIONES Y ORIGENES, LA CARA  CAMBIANTE DEL ANTISEMITISMO, ANTISEMITISMO GENOCIDA: DESDE LA PRIMERA GUERRA MUNDIAL AL HOLOCAUSTO, ANTISEMITISMO CONTEMPORÁNEO, EL MUNDO ISLÁMICO Y ÁRABE, ABORDANDO EL ANTISEMITISMO","Dafna Dolinko, Dr. Yossi Kugler, Dmitry Kolotilenko",Yad Vashem ,Arts and Humanities,https://www.coursera.org/learn/antisemitismo
"Herencia negra, aplicación de ritmos afroperuanos",0.0,Beginner,16.0,0,"Bienvenida al curso, Panorama de la cultura afroperuana, Panorama contemporáneo de la música afroperuana, Aplicación de los ritmos afroperuanos",Javier Lazo Figueroa,Pontificia Universidad Católica del Perú,Arts and Humanities,https://www.coursera.org/learn/aplicacion-ritmos-afroperuanos
Storytelling y medios digitales,0.0,Beginner,8.0,0,"Semana 1, Semana 2, Semana 3",Josué Rodrigo Contreras Granados,SAE Institute México,Arts and Humanities,https://www.coursera.org/learn/storytelling-y-medios-digitales
游戏产业概论,3.5,Beginner,20.0,66,"绪论, 游戏硬件与软件发展历程, 游戏类型划分, 大师是怎样炼成的？, 游戏产业知识产权法律问题分析及应对, 游戏产品的研发与市场化运作, 企业创投与产品运营",胡东雁,"Fudan University, 上海戏剧学院",Arts and Humanities,https://www.coursera.org/learn/youxi-chanye-gailun
Overcoming  Challenges in Self and Society,0.0,Beginner,18.0,0,"Understanding Adversity: An Exploration of Challenges, Resilience Theory and Practice: From Hardship to Strength, Spiritual and Humanistic Dimensions of Resilience: A Renaissance Perspective, The Renaissance of Resilience: You, Your Community, and Social Transformation, Personal Renaissance of Resilience Mandala",Roger L Martinez,University of Colorado System,Arts and Humanities,https://www.coursera.org/learn/overcoming-challenges-in-self-and-society
Proyecto final de Músico moderno,4.6,Not Provided,9.0,23,"Desarrollo de la canción y grabación simple, Cree un plan de producción, Crear un bounce básico, Mezclar y masterizar","Loudon Stearns, George W. Russell, Jr., Pat Pattison","Berklee, Banco Interamericano de Desarrollo",Arts and Humanities,https://www.coursera.org/learn/proyecto-musico
"Internal Displacement, Conflict and Protection",4.9,Beginner,27.0,48,"Course Introduction, Week 1: Internal displacement: scale, causes and effects , Week 2: The emergence of IDP law, policy and institutions , Week 3: IDP protection in practice , Week 4: Displacement solutions and development, Week 5: IDPs in social context , Week 6: Internal displacement as lived experience","Dr Agnes Woolley, Professor David Cantor",University of London,Arts and Humanities,https://www.coursera.org/learn/internal-displacement-conflict-and-protection
"Health, Society, and Wellness in COVID-19 Times ",4.6,Beginner,52.0,14,"An Orientation to Health, Society, and Wellness in COVID-19 Times, Mental Health and Well-Being in COVID-19 Times, The Public Health Response and Transmission of the COVID-19 Virus, Social Inequities and COVID-19","Daryl Maeda, Sona Dimidjian, Donna Mejia",University of Colorado Boulder,Arts and Humanities,https://www.coursera.org/learn/health-society-and-wellness-in-covid-19-times
Indigenous Canada,4.8,Not Provided,21.0,21.648,"Worldview, Fur Trade, Trick or Treaty, New Rules, New Game, “Killing the Indian in the Child”, A Modern Indian?, Red Power, Sovereign Lands, Indigenous Women, Indigenous in the City, Current Social Movements, ‘Living’ Traditions – Expressions in Pop Culture and Art",Dr. Paul L. Gareau,University of Alberta,Arts and Humanities,https://www.coursera.org/learn/indigenous-canada
Graphic Design Specialization,4.7,Beginner,10.0,16.128,"Fundamentals of Graphic Design, Introduction to Typography, Introduction to Imagemaking, Ideas from the History of Graphic Design, Brand New Brand","Gail Swanlund, Louise Sandhaus, Michael Worthington, Anther Kiley, Lorraine Wild",California Institute of the Arts,Arts and Humanities,https://www.coursera.org/specializations/graphic-design
UI / UX Design Specialization,4.7,Beginner,10.0,6.772,"Visual Elements of User Interface Design, UX Design Fundamentals, Web Design: Strategy and Information Architecture, Web Design: Wireframes to Prototypes","Michael Worthington, Roman Jaster",California Institute of the Arts,Arts and Humanities,https://www.coursera.org/specializations/ui-ux-design
Creative Writing Specialization,4.7,Beginner,10.0,5.035,"Creative Writing: The Craft of Plot, Creative Writing: The Craft of Character, Creative Writing: The Craft of Setting and Description, Creative Writing: The Craft of Style, Capstone: Your Story","Amity Gaige, Salvatore Scibona, Brando Skyhorse, Amy Bloom",Wesleyan University,Arts and Humanities,https://www.coursera.org/specializations/creative-writing
Modern and Contemporary Art and Design Specialization,4.8,Beginner,10.0,2.393,"Modern Art & Ideas, Seeing Through Photographs, What Is Contemporary Art?, Fashion as Design","Anna Burckhardt, Sophie Cavoulacos, Sarah Meister, Paola Antonelli, Michelle Millar Fisher, Erica Papernik-Shimizu, Christian Rattemeyer, Lisa Mazzola, Arièle Dionne-Krosnick, Lucy Gallun, Sean Anderson, Stephanie Kramer",The Museum of Modern Art,Arts and Humanities,https://www.coursera.org/specializations/modern-contemporary-art-design
Game Design: Art and Concepts Specialization,4.7,Beginner,10.0,2.491,"Introduction to Game Design, Story and Narrative Development for Video Games, World Design for Video Games, Character Design for Video Games, Game Design Document: Define the Art & Concepts","Théotime Vaillant, Dariush Derakhshani, Fran Krause",California Institute of the Arts,Arts and Humanities,https://www.coursera.org/specializations/game-design
The DIY Musician Specialization,4.7,Beginner,10.0,443,"Songwriting: Writing the Lyrics, The Art of Music Production, Pro Tools Basics, Building Your Career in Music: Developing A Brand and Funding Your Music","Leah Waldo, Stephen Webber, Pat Pattison, Chrissy Tignor",Berklee,Arts and Humanities,https://www.coursera.org/specializations/diy-musician
Music Production Specialization,4.8,Beginner,10.0,1.815,"The Art of Music Production, The Technology of Music Production, Pro Tools Basics, Music Production Capstone","Stephen Webber, Loudon Stearns, Chrissy Tignor",Berklee,Arts and Humanities,https://www.coursera.org/specializations/music-production
The Business of Music Production Specialization,4.9,Beginner,10.0,602,"Music Business Foundations, The Art of Music Production, Copyright Law in the Music Business, Pro Tools Basics","Dr. E. Michael Harrington, Stephen Webber, John P. Kellogg, Esq., Chrissy Tignor",Berklee,Arts and Humanities,https://www.coursera.org/specializations/business-music-production
The Singer Songwriter Specialization,4.8,Beginner,10.0,448,"Guitar for Beginners, Singing Popular Music, Songwriting: Writing the Lyrics, Introduction to Ableton Live","Thaddeus Hogarth, Jeannie Gagne, Pat Pattison, Erin Barra",Berklee,Arts and Humanities,https://www.coursera.org/specializations/singer-songwriter
"Songwriting: Writing, Arranging, and Producing Music Specialization",4.8,Beginner,10.0,196,"Songwriting: Writing the Lyrics, Songwriting: Writing the Music, Arranging for Songwriters, Introduction to Ableton Live","Sarah Brindell, Pat Pattison, Scarlet Keys, Erin Barra, Bonnie Hayes",Berklee,Arts and Humanities,https://www.coursera.org/specializations/songwriting
Fundamentals of Graphic Design,4.8,Beginner,15.0,16.929,"Course Overview, Week 1: Fundamentals of Imagemaking, Week 2: Fundamentals of Typography, Week 3: Fundamentals of Shape and Color, Week 4: Fundamentals of Composition, Continuing your graphic design studies",Michael Worthington,California Institute of the Arts,Arts and Humanities,https://www.coursera.org/learn/fundamentals-of-graphic-design
Photography Basics and Beyond: From Smartphone to DSLR Specialization,4.8,Beginner,10.0,5.195,"Cameras, Exposure, and Photography, Camera Control, Principles of Photo Composition and Digital Image Post-Production, Photography Techniques: Light, Content, and Sharing, Photography Capstone Project","Mark Valentine Sullivan, Peter Glendinning",Michigan State University,Arts and Humanities,https://www.coursera.org/specializations/photography-basics
Electronic Music Production Specialization,4.8,Intermediate,10.0,520,"The Technology of Music Production, Introduction to Ableton Live, Creating Sounds for Electronic Music, Electronic Music Performance Techniques","Loudon Stearns, Erin Barra, Rishabh Rajan",Berklee,Arts and Humanities,https://www.coursera.org/specializations/electronic-music-production
Introduction to Philosophy,4.7,Not Provided,19.0,9.048,"What is Philosophy?, Morality: Objective, Relative or Emotive?, What is Knowledge? And Do We Have Any?, Week 2 review: Lesson Choices, Do We Have an Obligation to Obey the Law?, Should You Believe What You Hear?, Week 3 review: Lesson Choices, Minds, Brains and Computers, Are Scientific Theories True?, Week 4 review: Lesson Choices, Do We Have Free Will and Does It Matter?, Time Travel and Philosophy , Week 5 review: Lesson Choices, Peer review","Dr. Allan Hazlett, Dr. Alasdair Richmond, Dr. Suilin Lavelle, Professor Duncan Pritchard, Dr. Matthew Chrisman, Guy Fletcher, Elinor Mason, Dr.  Dave Ward,  Professor Michela Massimi",The University of Edinburgh,Arts and Humanities,https://www.coursera.org/learn/philosophy
Introduction to Logic and Critical Thinking Specialization,4.6,Beginner,4.0,556,"Think Again I: How to Understand Arguments, Think Again II: How to Reason Deductively, Think Again III: How to Reason Inductively, Think Again IV: How to Avoid Fallacies","Dr. Walter  Sinnott-Armstrong, Dr. Ram  Neta",Duke University,Arts and Humanities,https://www.coursera.org/specializations/logic-critical-thinking-duke
Finding Your Professional Voice: Confidence & Impact,4.7,Beginner,9.0,310,"Be Aware: Understanding yourself and understanding how the voice works. , Be Physical: the role of the body in speaking, Be Connected: understanding your audience and how to connect  to them, Be Impactful: Using emphasis for impact",Emmy Broomfield,University of London,Arts and Humanities,https://www.coursera.org/learn/finding-your-professional-voice
Memoir and Personal Essay: Write About Yourself Specialization,4.4,Beginner,10.0,330,"Memoir and Personal Essay: Managing Your Relationship with the Reader, Writing in First Person Point of View, Writing a Personal Essay, Writing Stories About Ourselves","Ariel Levy, Said Sayrafiezadeh, Greg Pardlo, Amy Bloom",Wesleyan University,Arts and Humanities,https://www.coursera.org/specializations/memoir-personal-essay
Fundamentals of Music Theory,4.5,Beginner,11.0,1.707,"Pitches, Scales, Modes and Chords, Keys, Minor Scales, Intervals and Clefs, Rhythm and Form, Harmony 1: Functional Harmony, Harmony 2: Inversions, Cadences and Sequences, Harmonic Analysis Practice and Final Exam","Dr Nikki Moran, Eli Appleby-Donald, Dr John Philip Kitchen MBE, Dr Thomas Butler, Dr Richard Worth, Dr Zack Moir",The University of Edinburgh,Arts and Humanities,https://www.coursera.org/learn/edinburgh-music-theory
Visual Elements of User Interface Design,4.7,Beginner,16.0,5.809,"Course and Specialization Overview, What IS a user interface anyway?, Formal Elements of Interface Design, Active Elements of Interface Design, Composing the Elements of Interface Design",Michael Worthington,California Institute of the Arts,Arts and Humanities,https://www.coursera.org/learn/visual-elements-user-interface-design
"Teaching with Art: Using Inquiry, Activities, and Themes Specialization",4.9,Intermediate,10.0,36,"Art & Inquiry: Museum Teaching Strategies For Your Classroom, Art & Activity: Interactive Strategies for Engaging with Art, Art & Ideas: Teaching with Themes","Francis Estrada, Lisa Mazzola, Larissa Raphael",The Museum of Modern Art,Arts and Humanities,https://www.coursera.org/specializations/teaching-with-art
Greek and Roman Mythology,4.8,Not Provided,24.0,2.305,"Introduction, Becoming a Hero, Adventures Out and Back , Identity and Signs, Gods and Humans, Ritual and Religion, Justice, Unstable Selves, The Roman Hero, Remade, ""Roman Myth and Ovids Metamorphoses""",Peter Struck,University of Pennsylvania,Arts and Humanities,https://www.coursera.org/learn/mythology
Write A Feature Length Screenplay For Film Or Television,4.6,Beginner,93.0,196,"Week One - Creating The Idea, Week Two: Logline and Dramatic Question, Week Three Create your character profile(s), Week Four: The Three Act Story Arc, Week Five: Screenplay Formatting and Software, Week Six: Begin your screenplay, Week Seven: The middle section of Act One, Week Eight: Write the final section of Act One, Week Nine: Table read Act One, Week Ten: Begin Act Two, Week Eleven: Write pages 41-50, Week Twelve: Write pages 51-60, Week Thirteen: Write pages 61-70, Week Fourteen: Write pages 71-80, Week Fifteen: Table read Acts One and Two, Week Sixteen: Write pages 81-90, Week Seventeen: Write pages 91-100, Week Eighteen: Finish Act Three, Week Nineteen: Table read your entire script, Week Twenty: Finishing things up.",David Wheeler,Michigan State University,Arts and Humanities,https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television
Creative Writing: The Craft of Plot,4.7,Not Provided,5.0,4.708,"Plotting a Course, The Power of Structure, A Scene in Motion, Cut It Out",Brando Skyhorse,Wesleyan University,Arts and Humanities,https://www.coursera.org/learn/craft-of-plot
Making Architecture,4.8,Beginner,13.0,1.301,"Welcome to the Mind of an Architect, Design Analysis, Creating Spaces, Design Process","Manuel Perez Romero, David Jeffrey Goodman, Nenad Katic","IE Business School, IE School of Architecture & Design",Arts and Humanities,https://www.coursera.org/learn/making-architecture
Graphic Design Elements for Non-Designers Specialization,4.7,Beginner,10.0,1.030,"Basic Elements of Design: Design Principles and Software Overview, Graphic Elements of Design: Color Theory and Image Formats, Textual Elements of Design: Fonts, Typography, and Spacing, Print and Digital Elements of Design: Branding and User Experience",Lori Poole,University of Colorado Boulder,Arts and Humanities,https://www.coursera.org/specializations/graphic-design-elements-non-designers
Write Your First Novel,4.3,Beginner,127.0,297,"Week One: Creating the idea for your novel, Week Two: Create your character profiles and outline Chapter One, Week Three: Write Chapter One, Week Four: Write Chapter Two, Week Five: Write Chapter Three, Week Six: Write Chapter Four, Week Seven: Write Chapter Five, Week Eight: Write Chapter Six, Week Nine: Write Chapter Seven, Week Ten: Table Read Chapters One to Seven, Week Eleven: Write Chapter Eight, Week Twelve: Write Chapter Nine, Week Thirteen: Write Chapter Ten, Week Fourteen: Write Chapter Eleven, Week Fifteen: Write Chapter Twelve, Week Sixteen: Write Chapter Thirteen, Week Seventeen: Write Chapter Fourteen, Week Eighteen: Table Read Chapters Eight to Fourteen, Week Nineteen: Write Chapter Fifteen, Week Twenty: Write Chapter Sixteen, Week Twenty-One: Write Chapter Seventeen, Week Twenty-Two: Write Chapter Eighteen, Week Twenty-Three: Write Chapter Nineteen, Week Twenty-Four: Write Chapter Twenty, Week Twenty-Five: Table Read Chapters Fifteen to Twenty, Week Twenty-Six: Submit Your Finished Novel",David Wheeler,Michigan State University,Arts and Humanities,https://www.coursera.org/learn/write-your-first-novel
Introduction to Typography,4.8,Beginner,8.0,5.538,"Week 1: Talking Type, Week 2: Typefaces and their Stories, Week 3: Putting Type to Work, Week 4: Making Meaningful Type",Anther Kiley,California Institute of the Arts,Arts and Humanities,https://www.coursera.org/learn/typography
How to Play Guitar Specialization,4.8,Beginner,10.0,454,"Guitar for Beginners, Guitar Scales and Chord Progressions, Guitar Chord Voicings: Playing Up The Neck, Guitar Performance Techniques","Thaddeus Hogarth, Tim Miller, Amanda Monaco, Rick Peckham",Berklee,Arts and Humanities,https://www.coursera.org/specializations/play-guitar
Developing Your Musicianship Specialization,4.9,Beginner,10.0,1.232,"Developing Your Musicianship, Musicianship: Chord Charts, Diatonic Chords, and Minor Keys, Musicianship: Tensions, Harmonic Function, and Modal Interchange, Developing Your Musicianship: Final Project","George W. Russell, Jr.",Berklee,Arts and Humanities,https://www.coursera.org/specializations/musicianship-specialization
Become a Journalist: Report the News! Specialization,4.7,Beginner,10.0,1.317,"What is news? , Gathering and Developing the News, Effectively delivering the news to your audience, Journalism, the future, and you!, Capstone: Create your own professional journalistic portfolio","Joe Grimm, Eric Freedman, Lucinda D. Davenport, Jeremy Steele, Joanne C. Gerstner, David Poulson",Michigan State University,Arts and Humanities,https://www.coursera.org/specializations/become-a-journalist
Modern Art & Ideas,4.8,Beginner,13.0,6.264,"Module 1: Introduction to Modern Art & Ideas, Module 2: Places & Spaces, Module 3: Art & Identity, Module 4: Transforming Everyday Objects, Module 5: Art & Society, Module 5: Art & Society: Lesson Choices",Lisa Mazzola,The Museum of Modern Art,Arts and Humanities,https://www.coursera.org/learn/modern-art-ideas
English Composition I,4.6,Beginner,25.0,1.088,"The Writing Process, Critical Reading, Project 1:  Visual Analysis,  Revision Strategies and Visual Analysis Revision, Project 2: Case Study, Writing Cohesively and Case Study Revision, Project 3: Op-Ed, Crafting Powerful Prose and Op-Ed Revision, Transferring Writing Practices, Skills, and Knowledge to New Contexts,  Writing in the Humanities, Social Science, and Natural Sciences",Dr. Denise Comer,Duke University,Arts and Humanities,https://www.coursera.org/learn/english-composition
"The Modern World, Part One: Global History from 1760 to 1910",4.8,Beginner,15.0,2.851,"From the Traditional to the Modern - Commercial and Military Revolutions (1760-1800), Democratic Revolutions of the Atlantic World (1760-1800), Revolutionary Wars (1800-1830), The World Transformed (1830-1870), The Rise of National Industrial States (1830-1871), The Rise of National Industrial Empires (1871-1900), The Great Acceleration (1890-1910)",Philip Zelikow,University of Virginia,Arts and Humanities,https://www.coursera.org/learn/modern-world
The Cycle: Management of Successful Arts and Cultural Organizations,4.8,Beginner,12.0,648,"Introduction to the Cycle, Long-Term Artistic Planning, Institutional Marketing, Programmatic Marketing, Family and Boards, Fundraising and Course Summary","Michael M. Kaiser, Brett Egan","University of Maryland, College Park",Arts and Humanities,https://www.coursera.org/learn/the-cycle
Art for Games  Specialization,4.5,Beginner,10.0,207,"Pixel Art for Video Games, Low Poly Art For Video Games, Current Gen 3D Game Prop Production, Concept Art for Video Games","Andrew Dennis, Ricardo Guimaraes",Michigan State University,Arts and Humanities,https://www.coursera.org/specializations/art-for-games
The Art of Music Production,4.8,Intermediate,13.0,1.976,"Welcome to The Art of Music Production, Listening Like A Producer, Identity, Vision, and Intention, Strengthening Musical Productions: Tools & Strategies, Defining the Sonic Signature of your Song",Stephen Webber,Berklee,Arts and Humanities,https://www.coursera.org/learn/producing-music
Introduction to Game Design,4.7,Beginner,6.0,2.738,"Week 1: The Simplest Games, Week 2: Rules and Discovery, Week 3: Tell a Story, Week 4: The Friend and the Enemy",Fran Krause,California Institute of the Arts,Arts and Humanities,https://www.coursera.org/learn/game-design
Getting Started With Music Theory,4.5,Beginner,13.0,728,"Basic Materials: Overview, Tonality, Notation, Scales, Keys, and Intervals, Rhythm and Meter, Chords, Triads, and Harmony",Bruce Taggart,Michigan State University,Arts and Humanities,https://www.coursera.org/learn/music-theory
Feminism and Social Justice,4.8,Beginner,8.0,5.966,"What is feminism?, Salt of the Earth, Free Angela!, The #metoo Movement, Additional Materials (Optional)",Bettina Aptheker,"University of California, Santa Cruz",Arts and Humanities,https://www.coursera.org/learn/feminism-social-justice
Songwriting: Writing the Lyrics,4.8,Beginner,15.0,845,"Welcome to Songwriting: Writing the Lyrics, The Journey of the Song, Stopping and Going, Sonic GPS—Mapping Your Song with Rhyme, Making It Move",Pat Pattison,Berklee,Arts and Humanities,https://www.coursera.org/learn/songwriting-lyrics
Introduction to Classical Music,4.9,Not Provided,65.0,3.842,"What Is Music?, ""How Music Works, its Magic."", The Sound of Music, Music Back in the Day, The Baroque Era, The Classical Era, The Bridge From Classical to Romantic, The Romantic Era, Music to the Present",Craig Wright,Yale University,Arts and Humanities,https://www.coursera.org/learn/introclassicalmusic
Introduction to Imagemaking,4.5,Beginner,11.0,2.804,"Week 1: Image-based Research, Week 2: Making Images, Week 3: Composition is Relational, Week 4: Designing a Book with Your Images",Gail Swanlund,California Institute of the Arts,Arts and Humanities,https://www.coursera.org/learn/image-making
A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650) ,4.8,Beginner,45.0,616,"Welcome to A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650), Introduction: From Persecution to Empire, Augustine and the North African Church , Monastic Lives: Desert Fathers to Celtic Christianity , Reformers and Crusaders, Learning and Light, Three Religions: Christians, Jews & Muslims in Medieval Spain, Medieval Devotion, ""Luthers Reformation"", Fragmenting Reformation, Catholic Reform, Jesuits and Missions",Bruce Gordon,Yale University,Arts and Humanities,https://www.coursera.org/learn/western-christianity-200-1650
"Cameras, Exposure, and Photography",4.8,Not Provided,19.0,5.063,"WELCOME, OVERVIEW, and FUNDAMENTALS, Camera capabilities: differences and similarities, Setting up yourself and your digital camera: Menus, Settings, and baggage!, Picture Decisions: The Vantage Point and Frame","Mark Valentine Sullivan, Peter Glendinning",Michigan State University,Arts and Humanities,https://www.coursera.org/learn/exposure-photography
"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences",4.7,Not Provided,26.0,816,"What is Transmedia Storytelling?, Creative Ideas Generation - Building a Storyworld, Understanding a Transmedia Audience, The Transmedia User Experience, Using Creative Technologies, Stories from Industry - Professionals’ Career Journeys and Advice","Emma Robertson, Dr Jeffrey Koh, Dr Geoge Khut, Associate Professor Simon McIntyre, Dr Ollie Bown",UNSW Sydney (The University of New South Wales),Arts and Humanities,https://www.coursera.org/learn/transmedia-storytelling
Journey of the Universe: The Unfolding of Life,4.7,Not Provided,23.0,420,"Welcome to Journey of the Universe: The Unfolding Life, Introduction - Beginning of the Universe , The Formation of Galaxies and Stars , Our Solar System and Life’s Emergence, Living and Dying and the Passion of Animals, From the Origin of the Human to Becoming a Planetary Presence, Rethinking Matter and Time within the Emerging Earth Community","Mary Evelyn Tucker, John Grim",Yale University,Arts and Humanities,https://www.coursera.org/learn/journey-of-the-universe
The Technology of Music Production,4.8,Beginner,17.0,1.021,"Welcome to The Technology of Music Production, Sound and Signal Flow, The DAW, The Mixer, Dynamic Effects, Filter and Delay Effects, Synthesis",Loudon Stearns,Berklee,Arts and Humanities,https://www.coursera.org/learn/technology-of-music-production
